title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
Signal to Noise - A 1980s Analog Horror Scenario,https://www.drivethrurpg.com/en/product/442567/signal-to-noise-a-1980s-analog-horror-scenario,80.0,6/22/23,Call of Cthulhu,"Feb 21, 2024",9.99,0,0,0,1,0,PDF,0,1,1
Signal to Noise - A 1980s Analog Horror Scenario,https://www.drivethrurpg.com/en/product/442567/signal-to-noise-a-1980s-analog-horror-scenario,80.0,6/22/23,Call of Cthulhu,"Feb 21, 2024",22.99,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Signal to Noise - A 1980s Analog Horror Scenario,https://www.drivethrurpg.com/en/product/442567/signal-to-noise-a-1980s-analog-horror-scenario,80.0,6/22/23,Call of Cthulhu,"Feb 21, 2024",32.98,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Heinrich's Call of Cthulhu Guide to Character Creation,https://www.drivethrurpg.com/en/product/385321/heinrich-s-call-of-cthulhu-guide-to-character-creation,153.0,1/31/22,Call of Cthulhu,"Apr 17, 2022",11.95,0,0,0,1,0,PDF,0,1,1
Heinrich's Call of Cthulhu Guide to Character Creation,https://www.drivethrurpg.com/en/product/385321/heinrich-s-call-of-cthulhu-guide-to-character-creation,153.0,1/31/22,Call of Cthulhu,"Apr 17, 2022",23.95,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,1
Heinrich's Call of Cthulhu Guide to Character Creation,https://www.drivethrurpg.com/en/product/385321/heinrich-s-call-of-cthulhu-guide-to-character-creation,153.0,1/31/22,Call of Cthulhu,"Apr 17, 2022",29.95,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,1,1
Heinrich's Call of Cthulhu Guide to Character Creation,https://www.drivethrurpg.com/en/product/385321/heinrich-s-call-of-cthulhu-guide-to-character-creation,153.0,1/31/22,Call of Cthulhu,"Apr 17, 2022",35.9,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,1
Heinrich's Call of Cthulhu Guide to Character Creation,https://www.drivethrurpg.com/en/product/385321/heinrich-s-call-of-cthulhu-guide-to-character-creation,153.0,1/31/22,Call of Cthulhu,"Apr 17, 2022",41.9,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,1,1
Starport Helios,https://www.drivethrurpg.com/en/product/479784/starport-helios,10.0,5/4/24,Call of Cthulhu,"May 4, 2024",,0,0,0,1,0,PDF,0,1,1
The Curse of Punk | A Call of Cthulhu Scenario,https://www.drivethrurpg.com/en/product/478253/the-curse-of-punk-a-call-of-cthulhu-scenario,35.0,4/22/24,Call of Cthulhu,"Apr 21, 2024",4.95,0,0,0,1,0,PDF,0,1,0
