title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
X2 Castle Amber (Basic),https://www.drivethrurpg.com/en/product/17088/x2-castle-amber-basic,32.0,6/25/13,Basic/BECMI or OD&D,"Nov 16, 2016",15.98,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,5
In the Heart of the Unknown - Procedural Hex Crawling Engine,https://www.drivethrurpg.com/en/product/292935/in-the-heart-of-the-unknown-procedural-hex-crawling-engine,1.0,10/25/19,"Any system / system-agnostic, Dungeons & Dragons, Old-School Revival (OSR)","May 13, 2023",,0,0,0,1,0,Watermarked PDF,0,1,1
Cha'alt,https://www.drivethrurpg.com/en/product/284600/cha-alt,218.0,8/1/19,"Dungeons & Dragons, Old-School Revival (OSR)","Aug 7, 2019",20.0,0,0,0,1,0,Watermarked PDF,0,1,10
Ray Guns & Ruins,https://www.drivethrurpg.com/en/product/362535/ray-guns-ruins,26.0,6/29/21,"3.x/d20/OGL, Basic/BECMI or OD&D, Other OSR Games","Jul 1, 2021",2.99,0,0,0,1,0,PDF,0,2,0
Such Unhallowed Depths [HBA-3],https://www.drivethrurpg.com/en/product/479583/such-unhallowed-depths-hba-3,25.0,5/2/24,Dungeons & Dragons,"May 2, 2024",3.95,0,0,0,1,0,Watermarked PDF,0,1,4
Simple Settings: Fairy Tales,https://www.drivethrurpg.com/en/product/310918/simple-settings-fairy-tales,74.0,4/23/20,5e-compatible,"Apr 23, 2020",9.95,0,0,0,1,0,PDF,0,1,0
Simple Settings: Fairy Tales,https://www.drivethrurpg.com/en/product/310918/simple-settings-fairy-tales,74.0,4/23/20,5e-compatible,"Apr 23, 2020",14.95,1,0,0,0,0,"Softcover, B&W Book (8.5"" x 11"")",0,1,0
Simple Settings: Fairy Tales,https://www.drivethrurpg.com/en/product/310918/simple-settings-fairy-tales,74.0,4/23/20,5e-compatible,"Apr 23, 2020",24.9,1,0,0,1,0,"PDF + Softcover, B&W Book (8.5"" x 11"")",0,1,0
DMR2 Creature Catalog (Basic),https://www.drivethrurpg.com/en/product/16989/dmr2-creature-catalog-basic,128.0,7/9/13,Basic/BECMI or OD&D,"Dec 5, 2014",7.99,0,0,0,1,0,Watermarked PDF,0,4,9
DMR2 Creature Catalog (Basic),https://www.drivethrurpg.com/en/product/16989/dmr2-creature-catalog-basic,128.0,7/9/13,Basic/BECMI or OD&D,"Dec 5, 2014",16.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,4,9
DMR2 Creature Catalog (Basic),https://www.drivethrurpg.com/en/product/16989/dmr2-creature-catalog-basic,128.0,7/9/13,Basic/BECMI or OD&D,"Dec 5, 2014",24.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,4,9
Q1 Queen of the Demonweb Pits (1e),https://www.drivethrurpg.com/en/product/17054/q1-queen-of-the-demonweb-pits-1e,40.0,1/22/13,1e (AD&D),"Sep 28, 2013",4.99,0,0,0,1,0,Watermarked PDF,0,2,5
Q1 Queen of the Demonweb Pits (1e),https://www.drivethrurpg.com/en/product/17054/q1-queen-of-the-demonweb-pits-1e,40.0,1/22/13,1e (AD&D),"Sep 28, 2013",8.99,1,0,0,0,0,"Softcover, B&W Book (8.5"" x 11"")",0,2,5
Q1 Queen of the Demonweb Pits (1e),https://www.drivethrurpg.com/en/product/17054/q1-queen-of-the-demonweb-pits-1e,40.0,1/22/13,1e (AD&D),"Sep 28, 2013",13.98,1,0,0,1,0,"PDF + Softcover, B&W Book (8.5"" x 11"")",0,2,5
Lasers & Liches: Players Mix,https://www.drivethrurpg.com/en/product/372678/lasers-liches-players-mix,265.0,10/1/21,5e-compatible,"Mar 29, 2023",35.0,0,0,0,1,0,Watermarked PDF,0,1,1
Broken Weave: Gamemaster's Screen,https://www.drivethrurpg.com/en/product/473230/broken-weave-gamemaster-s-screen,28.0,3/14/24,5e-compatible,"Apr 26, 2024",14.99,0,0,0,1,0,PDF,0,2,6
Bugbears And Borderlands Players Guide,https://www.drivethrurpg.com/en/product/409843/bugbears-and-borderlands-players-guide,78.0,12/2/22,D&D-OGL,"Jan 8, 2024",1.0,0,0,0,1,0,PDF,0,1,0
Bugbears And Borderlands Players Guide,https://www.drivethrurpg.com/en/product/409843/bugbears-and-borderlands-players-guide,78.0,12/2/22,D&D-OGL,"Jan 8, 2024",19.99,0,1,0,0,1,"Hardcover, Standard Color Book (6"" x 9"")",0,1,0
Bugbears And Borderlands Players Guide,https://www.drivethrurpg.com/en/product/409843/bugbears-and-borderlands-players-guide,78.0,12/2/22,D&D-OGL,"Jan 8, 2024",20.99,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (6"" x 9"")",0,1,0
The Drowned Valley of Gorth,https://www.drivethrurpg.com/en/product/457534/the-drowned-valley-of-gorth,36.0,11/16/23,"Other unique systems, 5e-compatible, Other OSR Games","Nov 16, 2023",4.95,0,0,0,1,0,PDF,0,1,5
The Drowned Valley of Gorth,https://www.drivethrurpg.com/en/product/457534/the-drowned-valley-of-gorth,36.0,11/16/23,"Other unique systems, 5e-compatible, Other OSR Games","Nov 16, 2023",9.95,1,0,0,0,0,"Softcover, B&W Book (6.625"" x 10.25"")",0,1,5
The Drowned Valley of Gorth,https://www.drivethrurpg.com/en/product/457534/the-drowned-valley-of-gorth,36.0,11/16/23,"Other unique systems, 5e-compatible, Other OSR Games","Nov 16, 2023",14.9,1,0,0,1,0,"PDF + Softcover, B&W Book (6.625"" x 10.25"")",0,1,5
5E Magical Herbs,https://www.drivethrurpg.com/en/product/480066/5e-magical-herbs,48.0,5/7/24,5e-compatible,"May 8, 2024",2.95,0,0,0,1,0,PDF,0,1,0
OD&D Supplement I: Greyhawk (0e),https://www.drivethrurpg.com/en/product/17174/od-d-supplement-i-greyhawk-0e,68.0,2/2/16,"Classic D&D/AD&D, Dungeons & Dragons","Feb 1, 2016",4.99,0,0,0,1,0,Watermarked PDF,0,2,1
Troopers: RedHack,https://www.drivethrurpg.com/en/product/417971/troopers-redhack,88.0,6/5/23,"Other unique systems, d20 System, Old-School Revival (OSR)","Jul 5, 2023",,0,0,0,1,0,PDF,0,1,1
Troopers: RedHack,https://www.drivethrurpg.com/en/product/417971/troopers-redhack,88.0,6/5/23,"Other unique systems, d20 System, Old-School Revival (OSR)","Jul 5, 2023",,0,1,1,0,1,"Hardcover, Premium Color Book (5.5"" x 8.5"")",0,1,1
Troopers: RedHack,https://www.drivethrurpg.com/en/product/417971/troopers-redhack,88.0,6/5/23,"Other unique systems, d20 System, Old-School Revival (OSR)","Jul 5, 2023",,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (5.5"" x 8.5"")",0,1,1
Monsters of the Underworld,https://www.drivethrurpg.com/en/product/290974/monsters-of-the-underworld,129.0,12/4/19,"Dungeon Crawl Classics, 5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 14, 2023",8.95,0,0,0,1,0,Watermarked PDF,0,1,1
Monsters of the Underworld,https://www.drivethrurpg.com/en/product/290974/monsters-of-the-underworld,129.0,12/4/19,"Dungeon Crawl Classics, 5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 14, 2023",27.95,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Monsters of the Underworld,https://www.drivethrurpg.com/en/product/290974/monsters-of-the-underworld,129.0,12/4/19,"Dungeon Crawl Classics, 5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 14, 2023",37.95,0,1,1,0,1,"Hardcover, Premium Color Book (8.5"" x 11"")",0,1,1
Monsters of the Underworld,https://www.drivethrurpg.com/en/product/290974/monsters-of-the-underworld,129.0,12/4/19,"Dungeon Crawl Classics, 5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 14, 2023",33.32,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Monsters of the Underworld,https://www.drivethrurpg.com/en/product/290974/monsters-of-the-underworld,129.0,12/4/19,"Dungeon Crawl Classics, 5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 14, 2023",43.32,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",0,1,1
Ancalia: The Broken Towers,https://www.drivethrurpg.com/en/product/199446/ancalia-the-broken-towers,83.0,12/10/16,Classic D&D/AD&D,"Dec 10, 2016",9.99,0,0,0,1,0,PDF,0,1,4
Ancalia: The Broken Towers,https://www.drivethrurpg.com/en/product/199446/ancalia-the-broken-towers,83.0,12/10/16,Classic D&D/AD&D,"Dec 10, 2016",15.0,1,0,0,0,0,"Softcover, B&W Book (8.5"" x 11"")",0,1,4
Ancalia: The Broken Towers,https://www.drivethrurpg.com/en/product/199446/ancalia-the-broken-towers,83.0,12/10/16,Classic D&D/AD&D,"Dec 10, 2016",24.99,1,0,0,1,0,"PDF + Softcover, B&W Book (8.5"" x 11"")",0,1,4
Improved Travel: Expanded Discoveries,https://www.drivethrurpg.com/en/product/319801/improved-travel-expanded-discoveries,10.0,7/7/20,"Any system / system-agnostic, 5e-compatible","Jul 7, 2020",1.99,0,0,0,1,0,Watermarked PDF,0,1,0
Whispers in the Dark: Quickstart Rules for 5e,https://www.drivethrurpg.com/en/product/299564/whispers-in-the-dark-quickstart-rules-for-5e,78.0,1/4/20,5e-compatible,"May 15, 2020",9.99,0,0,0,1,0,Watermarked PDF,0,2,5
Whispers in the Dark: Quickstart Rules for 5e,https://www.drivethrurpg.com/en/product/299564/whispers-in-the-dark-quickstart-rules-for-5e,78.0,1/4/20,5e-compatible,"May 15, 2020",29.99,0,1,1,0,1,"Hardcover, Premium Color Book (8.5"" x 11"")",0,2,5
Whispers in the Dark: Quickstart Rules for 5e,https://www.drivethrurpg.com/en/product/299564/whispers-in-the-dark-quickstart-rules-for-5e,78.0,1/4/20,5e-compatible,"May 15, 2020",19.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,2,5
Whispers in the Dark: Quickstart Rules for 5e,https://www.drivethrurpg.com/en/product/299564/whispers-in-the-dark-quickstart-rules-for-5e,78.0,1/4/20,5e-compatible,"May 15, 2020",36.98,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",0,2,5
Whispers in the Dark: Quickstart Rules for 5e,https://www.drivethrurpg.com/en/product/299564/whispers-in-the-dark-quickstart-rules-for-5e,78.0,1/4/20,5e-compatible,"May 15, 2020",26.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,2,5
K6: The Great Mansion Heist,https://www.drivethrurpg.com/en/product/464648/k6-the-great-mansion-heist,22.0,12/21/23,"5e-compatible, Old-School Essentials, Pathfinder / Starfinder","Dec 21, 2023",,0,0,0,1,0,PDF,0,1,0
Dungeon Master's Guide (3.5),https://www.drivethrurpg.com/en/product/149132/dungeon-master-s-guide-3-5,320.0,5/12/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",9.99,0,0,0,1,0,Watermarked PDF,0,8,11
Dungeon Master's Guide (3.5),https://www.drivethrurpg.com/en/product/149132/dungeon-master-s-guide-3-5,320.0,5/12/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",25.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,8,11
Dungeon Master's Guide (3.5),https://www.drivethrurpg.com/en/product/149132/dungeon-master-s-guide-3-5,320.0,5/12/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",29.99,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,8,11
Dungeon Master's Guide (3.5),https://www.drivethrurpg.com/en/product/149132/dungeon-master-s-guide-3-5,320.0,5/12/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",35.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,8,11
Dungeon Master's Guide (3.5),https://www.drivethrurpg.com/en/product/149132/dungeon-master-s-guide-3-5,320.0,5/12/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",39.98,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,8,11
B6 The Veiled Society (Basic),https://www.drivethrurpg.com/en/product/17102/b6-the-veiled-society-basic,24.0,1/22/13,Basic/BECMI or OD&D,"Oct 21, 2013",4.99,0,0,0,1,0,Watermarked PDF,0,1,2
B6 The Veiled Society (Basic),https://www.drivethrurpg.com/en/product/17102/b6-the-veiled-society-basic,24.0,1/22/13,Basic/BECMI or OD&D,"Oct 21, 2013",9.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
B6 The Veiled Society (Basic),https://www.drivethrurpg.com/en/product/17102/b6-the-veiled-society-basic,24.0,1/22/13,Basic/BECMI or OD&D,"Oct 21, 2013",14.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
B5 Horror on the Hill (Basic),https://www.drivethrurpg.com/en/product/17097/b5-horror-on-the-hill-basic,32.0,1/22/13,Basic/BECMI or OD&D,"Jan 28, 2013",4.99,0,0,0,1,0,Watermarked PDF,0,1,2
B5 Horror on the Hill (Basic),https://www.drivethrurpg.com/en/product/17097/b5-horror-on-the-hill-basic,32.0,1/22/13,Basic/BECMI or OD&D,"Jan 28, 2013",9.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
B5 Horror on the Hill (Basic),https://www.drivethrurpg.com/en/product/17097/b5-horror-on-the-hill-basic,32.0,1/22/13,Basic/BECMI or OD&D,"Jan 28, 2013",14.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
What's In Its Pocketses?,https://www.drivethrurpg.com/en/product/470363/what-s-in-its-pocketses,61.0,2/8/24,"Any system / system-agnostic, 5e-compatible","Feb 8, 2024",8.0,0,0,0,1,0,Watermarked PDF,0,1,1
Monsters of the Victorian World,https://www.drivethrurpg.com/en/product/477233/monsters-of-the-victorian-world,46.0,4/19/24,5e-compatible,"Apr 11, 2024",5.0,0,0,0,1,0,PDF,0,1,1
Ritual Magic Expanded for 5th Edition Fantasy,https://www.drivethrurpg.com/en/product/170570/ritual-magic-expanded-for-5th-edition-fantasy,19.0,1/8/16,5e-compatible,"Jan 8, 2016",10.4,0,0,0,1,0,Watermarked PDF,0,1,1
OZ: A Fantasy Role-Playing Setting,https://www.drivethrurpg.com/en/product/407594/oz-a-fantasy-role-playing-setting,216.0,9/20/22,"5e-compatible, Other OSR Games","Jan 23, 2023",19.99,0,0,0,1,0,Watermarked PDF,0,7,1
Bugbears And Borderlands GM Guide,https://www.drivethrurpg.com/en/product/409967/bugbears-and-borderlands-gm-guide,134.0,12/2/22,D&D-OGL,"Jan 8, 2024",1.0,0,0,0,1,0,PDF,0,1,0
Bugbears And Borderlands GM Guide,https://www.drivethrurpg.com/en/product/409967/bugbears-and-borderlands-gm-guide,134.0,12/2/22,D&D-OGL,"Jan 8, 2024",24.99,0,1,0,0,1,"Hardcover, Standard Color Book (6"" x 9"")",0,1,0
Bugbears And Borderlands GM Guide,https://www.drivethrurpg.com/en/product/409967/bugbears-and-borderlands-gm-guide,134.0,12/2/22,D&D-OGL,"Jan 8, 2024",25.99,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (6"" x 9"")",0,1,0
Exwyn's Handbook to Heroism,https://www.drivethrurpg.com/en/product/459197/exwyn-s-handbook-to-heroism,54.0,12/18/23,5e-compatible,"Nov 6, 2023",12.0,0,0,0,1,0,Watermarked PDF,0,3,2
Exwyn's Handbook to Heroism,https://www.drivethrurpg.com/en/product/459197/exwyn-s-handbook-to-heroism,54.0,12/18/23,5e-compatible,"Nov 6, 2023",30.0,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,3,2
Exwyn's Handbook to Heroism,https://www.drivethrurpg.com/en/product/459197/exwyn-s-handbook-to-heroism,54.0,12/18/23,5e-compatible,"Nov 6, 2023",25.0,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,3,2
Exwyn's Handbook to Heroism,https://www.drivethrurpg.com/en/product/459197/exwyn-s-handbook-to-heroism,54.0,12/18/23,5e-compatible,"Nov 6, 2023",42.0,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,3,2
Exwyn's Handbook to Heroism,https://www.drivethrurpg.com/en/product/459197/exwyn-s-handbook-to-heroism,54.0,12/18/23,5e-compatible,"Nov 6, 2023",37.0,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,3,2
ARCADIA | Issue 14,https://www.drivethrurpg.com/en/product/444519/arcadia-issue-14,39.0,8/8/23,5e-compatible,"Jul 6, 2023",4.99,0,0,0,1,0,PDF,0,4,5
